Year,UK_Rain,England_Rain,Northern_Ireland_Rain,Scotland_Rain,Wales_Rain,UK_Mean_Temp,England_Mean_Temp,Norther_Ireland_Mean_Temp,Scotland_Mean_Temp,Wales_Mean_Temp,UK_Max_Temp,England_Max_Temp,Northern_Ireland_Max_Temp,Scotland_Max_Temp,Wales_Max_Temp,UK_Min_Temp,England_Min_Temp,Northern_Ireland_Min_Temp,Scotland_Min_Temp,Wales_Min_Temp
1954,1346.74,1015.1,1342.69,1855.02,1725.5,8.08,8.74,8.24,6.89,8.51,11.58,12.38,11.57,10.16,11.76,4.62,5.14,4.96,3.65,5.3
1955,939.11,735.66,1027.34,1231.97,1205.05,8.2,8.87,8.4,6.97,8.66,12.09,12.9,12.14,10.61,12.34,4.35,4.88,4.69,3.36,5.01
1956,1062.93,810.34,1086.57,1481.92,1237.36,7.9,8.48,8.25,6.82,8.3,11.53,12.24,11.73,10.22,11.7,4.32,4.77,4.81,3.47,4.94
1957,1119.5,839.54,1194.64,1540.36,1444.53,8.84,9.57,8.92,7.5,9.27,12.48,13.35,12.43,10.89,12.69,5.25,5.84,5.45,4.15,5.91
1958,1202.09,989.14,1275.15,1458.72,1634.97,8.28,9,8.47,6.96,8.73,11.8,12.6,11.86,10.36,11.94,4.81,5.45,5.14,3.59,5.57
1959,1021.76,764.19,1035.06,1399.63,1402.98,9.32,10.08,9.34,7.96,9.76,13.23,14.15,13.09,11.55,13.48,5.47,6.05,5.64,4.41,6.08
1960,1290.85,1102.07,1271.98,1479.47,1866.66,8.63,9.35,8.64,7.35,8.98,12.19,12.95,12.28,10.82,12.3,5.12,5.8,5.04,3.92,5.71
1961,1125.36,841.3,1147.64,1583.99,1372.43,8.71,9.5,8.67,7.3,9.13,12.35,13.28,12.17,10.68,12.58,5.12,5.76,5.21,3.97,5.73
1962,1044.46,746.58,1080.23,1539.05,1231.8,7.58,8.18,7.84,6.5,7.91,11.16,11.86,11.46,9.88,11.3,4.04,4.54,4.27,3.15,4.57
1963,1038.75,810.26,1130.97,1388.88,1206.95,7.43,8.02,7.66,6.35,7.87,10.89,11.52,11.17,9.69,11.14,4.01,4.56,4.2,3.04,4.63
1964,939.22,675.41,1071.16,1369.75,1111.03,8.36,9,8.56,7.18,8.73,11.91,12.67,12,10.52,12.1,4.85,5.38,5.17,3.89,5.41
1965,1183.82,955.45,1234.26,1513.2,1492.57,7.78,8.5,7.93,6.45,8.25,11.3,12.12,11.46,9.77,11.59,4.3,4.93,4.44,3.17,4.95
1966,1234.96,982.09,1343.08,1606.19,1501.54,8.28,9.08,8.37,6.78,8.82,11.66,12.55,11.72,10.02,11.96,4.93,5.66,5.08,3.58,5.73
1967,1231.02,939.51,1231.12,1668.03,1621.57,8.53,9.25,8.45,7.26,8.87,11.99,12.8,11.86,10.56,12.06,5.11,5.75,5.08,4,5.72
1968,1141.33,944.93,1112.58,1424.02,1406.71,8.22,8.94,8.38,6.87,8.69,11.62,12.34,12.04,10.23,11.95,4.85,5.6,4.76,3.54,5.49
1969,1051.1,875.52,1035.39,1289.25,1407.99,8.15,8.91,8.18,6.79,8.57,11.69,12.5,11.76,10.22,11.92,4.65,5.36,4.64,3.39,5.26
1970,1150.07,872.73,1171.94,1554.6,1552.53,8.35,9.13,8.46,6.87,8.88,11.91,12.84,11.91,10.21,12.16,4.83,5.48,5.06,3.58,5.64
1971,974.5,773.48,912.37,1271.55,1311.83,8.81,9.43,9.05,7.68,9.19,12.49,13.18,12.64,11.2,12.71,5.19,5.72,5.52,4.21,5.72
1972,1005.79,813.51,1050,1244.15,1439.63,8.2,8.87,8.19,7.01,8.6,11.76,12.44,11.75,10.54,11.95,4.69,5.36,4.67,3.52,5.3
1973,948.64,702.22,984.62,1340.1,1247.74,8.5,9.25,8.62,7.1,9.02,12.21,13.08,12.12,10.61,12.53,4.83,5.46,5.18,3.64,5.57
1974,1196.88,954.07,1164.29,1553.48,1578.82,8.47,9.18,8.44,7.22,8.83,11.97,12.75,11.94,10.61,12.1,5.01,5.66,4.99,3.88,5.6
1975,949,714.52,902.79,1342.32,1150.94,8.85,9.54,8.96,7.59,9.29,12.59,13.37,12.64,11.13,12.86,5.16,5.76,5.33,4.09,5.76
1976,1022.18,776.33,1091.13,1410.9,1221.88,8.84,9.57,8.83,7.52,9.24,12.51,13.43,12.3,10.85,12.8,5.21,5.75,5.39,4.24,5.74
1977,1145.7,887.84,1117.61,1524.52,1513.23,8.37,9.13,8.46,6.97,8.85,11.79,12.58,11.94,10.32,12.05,5,5.74,5.01,3.66,5.7
1978,1104.76,852.57,1114.22,1508.53,1320.85,8.3,8.99,8.51,6.99,8.79,11.69,12.5,11.77,10.18,11.97,4.96,5.53,5.3,3.85,5.65
1979,1205.26,946.69,1185.27,1595.69,1571.98,7.69,8.43,7.74,6.34,8.16,11.18,12.03,11.11,9.61,11.45,4.24,4.86,4.4,3.1,4.9
1980,1207.75,925.14,1235.8,1648.35,1477.41,8.35,9.01,8.47,7.15,8.75,11.81,12.59,11.82,10.39,12.03,4.93,5.47,5.17,3.96,5.51
1981,1206.1,947.11,1246.49,1585.73,1569.76,8.18,8.9,8.36,6.83,8.62,11.72,12.5,11.71,10.31,11.88,4.67,5.35,5.06,3.39,5.39
1982,1252.26,925.85,1223.96,1784.5,1521.86,8.67,9.45,8.64,7.28,9.1,12.37,13.24,12.27,10.78,12.61,5.02,5.71,5.07,3.82,5.64
1983,1117.58,840.55,1012.73,1564.32,1430.86,8.8,9.55,8.89,7.41,9.24,12.32,13.2,12.29,10.68,12.66,5.32,5.95,5.54,4.18,5.87
1984,1155.93,876.07,1119.74,1603.97,1428.35,8.61,9.33,8.66,7.33,9.02,12.33,13.15,12.34,10.77,12.69,4.95,5.55,5.02,3.92,5.4
1985,1158.73,839.87,1145.85,1684.05,1376.19,7.79,8.48,7.94,6.54,8.21,11.25,12.05,11.31,9.78,11.49,4.37,4.94,4.62,3.33,4.96
1986,1229.03,937.17,1210.02,1685.03,1560.31,7.64,8.33,7.66,6.43,7.95,11.18,12,11.08,9.72,11.29,4.15,4.71,4.28,3.19,4.65
1987,1122.21,885.48,1050.21,1487.64,1413.63,8.06,8.75,8.25,6.79,8.51,11.49,12.25,11.68,10.05,11.8,4.68,5.29,4.87,3.57,5.26
1988,1207.96,886.67,1254.65,1716.05,1496.15,8.8,9.52,8.82,7.53,9.15,12.24,13.06,12.21,10.78,12.42,5.41,6.04,5.48,4.33,5.94
1989,1069.17,773.84,1006.97,1557.76,1390.39,9.31,10.17,9.15,7.74,9.82,13.13,14.17,12.73,11.26,13.47,5.53,6.22,5.61,4.27,6.23
1990,1245.66,792.7,1262.69,2034.8,1449.07,9.43,10.29,9.25,7.88,9.92,13.13,14.2,12.67,11.21,13.44,5.77,6.42,5.86,4.6,6.45
1991,1047.58,746.65,1037.12,1540.42,1300.62,8.57,9.22,8.73,7.4,8.92,12.13,12.89,12.13,10.78,12.29,5.05,5.6,5.38,4.06,5.61
1992,1251.96,925.37,1197.97,1799.1,1524.83,8.77,9.54,8.73,7.39,9.15,12.35,13.22,12.12,10.83,12.49,5.23,5.92,5.4,4.01,5.87
1993,1219.57,947.02,1191.81,1646.03,1513.02,8.37,9.14,8.45,6.97,8.83,11.82,12.69,11.75,10.23,12.13,4.97,5.65,5.19,3.75,5.58
1994,1276.38,963.37,1186.61,1756.75,1718.49,8.92,9.82,8.68,7.33,9.36,12.41,13.41,12.05,10.68,12.57,5.48,6.29,5.36,4.03,6.19
1995,1114.09,798.31,1148.12,1630.9,1358.81,9.27,10.16,9.17,7.65,9.76,13.1,14.11,12.85,11.24,13.45,5.48,6.25,5.53,4.09,6.13
1996,981.27,712.15,1084.63,1404.25,1206.48,8.25,8.88,8.39,7.15,8.52,11.8,12.59,11.87,10.37,11.96,4.75,5.22,4.94,3.96,5.13
1997,1092.22,811.23,1091.69,1536.45,1363.66,9.42,10.14,9.41,8.15,9.73,13.07,13.97,12.9,11.48,13.24,5.81,6.37,5.97,4.86,6.27
1998,1333.32,1002.46,1273.15,1852.93,1712.71,9.16,9.93,9.2,7.78,9.55,12.53,13.44,12.47,10.84,12.78,5.85,6.47,5.97,4.76,6.37
1999,1281.65,984.25,1274.57,1735.42,1681.86,9.34,10.18,9.21,7.85,9.71,12.83,13.84,12.57,11.01,13.1,5.9,6.58,5.9,4.73,6.37
2000,1386.79,1124.68,1271.77,1757.69,1852.26,9.06,9.88,8.91,7.63,9.37,12.48,13.39,12.37,10.84,12.67,5.69,6.42,5.5,4.48,6.12
2001,1095.27,904.36,943.07,1405.78,1357.83,8.84,9.63,8.77,7.43,9.22,12.26,13.16,12.26,10.6,12.57,5.45,6.15,5.32,4.29,5.92
2002,1389.81,1078.13,1410.45,1831.88,1820.52,9.42,10.2,9.23,8.07,9.76,12.75,13.64,12.59,11.16,12.96,6.14,6.8,5.93,5.03,6.6
2003,932.72,727.49,964.52,1232.09,1221.67,9.43,10.13,9.34,8.22,9.7,13.11,13.98,12.91,11.57,13.28,5.79,6.33,5.82,4.91,6.17
2004,1187.05,911.1,1143.91,1637.44,1443.51,9.36,10.08,9.28,8.09,9.68,12.65,13.49,12.62,11.14,12.87,6.11,6.73,5.98,5.08,6.53
2005,1094.71,808.99,1080.2,1571.08,1312.2,9.34,10.08,9.33,8.04,9.64,12.67,13.56,12.61,11.06,12.86,6.07,6.66,6.09,5.07,6.48
2006,1152.42,880.57,1188.24,1575.67,1431.59,9.57,10.34,9.46,8.24,9.9,12.99,13.86,12.88,11.42,13.15,6.2,6.86,6.09,5.1,6.7
2007,1184.75,943.62,1107.2,1566.82,1476.64,9.54,10.31,9.54,8.19,9.88,13.03,13.94,12.96,11.39,13.23,6.1,6.73,6.17,5.03,6.56
2008,1301.45,1020.55,1353.95,1709.92,1656.42,9.06,9.81,8.97,7.77,9.32,12.51,13.38,12.35,10.98,12.61,5.65,6.28,5.63,4.6,6.08
2009,1261.56,922.35,1303.95,1809.15,1540.86,9.15,9.84,9.05,7.98,9.37,12.66,13.53,12.42,11.17,12.7,5.69,6.21,5.72,4.82,6.09
2010,1041.66,805.72,1039.37,1420.25,1270.52,8.04,8.73,7.99,6.84,8.35,11.68,12.5,11.6,10.21,11.86,4.43,4.99,4.43,3.5,4.87
2011,1133.51,760.78,1247.81,1787.55,1212.22,9.45,10.29,9.17,8.02,9.73,12.98,14,12.54,11.24,13.05,5.97,6.63,5.84,4.85,6.46
2012,1373.45,1135.86,1225.57,1704.48,1827.14,8.79,9.56,8.77,7.43,9.12,12.22,13.12,12.11,10.62,12.35,5.4,6.04,5.49,4.29,5.94
2013,1128.29,861.91,1136.71,1534.23,1448.74,8.74,9.42,8.76,7.52,9.11,12.19,13.01,12.13,10.72,12.41,5.32,5.88,5.44,4.36,5.86
2014,1369.8,1048.99,1386.71,1848.64,1776.1,9.82,10.66,9.48,8.42,10.05,13.32,14.33,12.85,11.61,13.4,6.37,7.05,6.16,5.28,6.75
2015,1264.58,918.16,1371.84,1813.27,1544.62,9.06,9.93,8.7,7.6,9.35,12.64,13.65,12.23,10.89,12.8,5.53,6.26,5.22,4.35,5.96
2016,1172.89,907.32,1147.6,1590.06,1458.63,9.24,10.01,9.1,7.91,9.54,12.77,13.7,12.53,11.13,12.95,5.76,6.37,5.73,4.75,6.2
2017,1163.11,866.74,1179.99,1641.75,1431.33,9.51,10.29,9.31,8.16,9.82,12.97,13.91,12.68,11.33,13.13,6.09,6.72,6,5.05,6.56
2018,1117.45,864.38,1170.79,1483.78,1462.29,9.36,10.25,8.98,7.85,9.69,12.99,14.05,12.49,11.13,13.19,5.79,6.49,5.52,4.62,6.24
2019,1270.59,988.6,1265.97,1687.62,1650.47,9.44,10.26,9.21,8.06,9.69,13.04,14.04,12.65,11.3,13.16,5.9,6.52,5.82,4.88,6.28
2020,1322.56,999.62,1341.4,1814.52,1700.18,9.58,10.53,9.13,8,9.87,13.17,14.3,12.57,11.24,13.31,6.05,6.82,5.73,4.8,6.48
